group,rank,team,played,wins,draws,losses,goals_for,goals_against,goal_difference,points
A,1,Mexico,3,1,2,0,4,3,1,5
A,2,South Africa,3,1,1,1,4,4,0,4
A,3,South Korea,3,1,1,1,4,4,0,4
A,4,Czech Republic,3,0,2,1,3,4,-1,2
B,1,Switzerland,3,3,0,0,6,3,3,9
B,2,Qatar,3,2,0,1,5,4,1,6
B,3,Canada,3,1,0,2,4,5,-1,3
B,4,Bosnia and Herzegovina,3,0,0,3,3,6,-3,0
C,1,Brazil,3,3,0,0,6,3,3,9
C,2,Morocco,3,2,0,1,5,4,1,6
C,3,Haiti,3,1,0,2,4,5,-1,3
C,4,Scotland,3,0,0,3,3,6,-3,0
D,1,Australia,3,1,2,0,4,3,1,5
D,2,United States,3,0,3,0,3,3,0,3
D,3,Paraguay,3,0,3,0,3,3,0,3
D,4,Turkey,3,0,2,1,3,4,-1,2
E,1,Germany,3,3,0,0,6,3,3,9
E,2,Ivory Coast,3,2,0,1,5,4,1,6
E,3,Curaçao,3,0,1,2,3,5,-2,1
E,4,Ecuador,3,0,1,2,3,5,-2,1
F,1,Netherlands,3,1,2,0,4,3,1,5
F,2,Sweden,3,0,3,0,3,3,0,3
F,3,Tunisia,3,0,3,0,3,3,0,3
F,4,Japan,3,0,2,1,3,4,-1,2
G,1,Belgium,3,3,0,0,6,3,3,9
G,2,New Zealand,3,2,0,1,5,4,1,6
G,3,Egypt,3,1,0,2,4,5,-1,3
G,4,Iran,3,0,0,3,3,6,-3,0
H,1,Spain,3,3,0,0,6,3,3,9
H,2,Uruguay,3,1,1,1,4,4,0,4
H,3,Cape Verde,3,0,2,1,3,4,-1,2
H,4,Saudi Arabia,3,0,1,2,3,5,-2,1
I,1,France,3,2,0,1,5,4,1,6
I,2,Iraq,3,2,0,1,5,4,1,6
I,3,Senegal,3,1,0,2,4,5,-1,3
I,4,Norway,3,1,0,2,4,5,-1,3
J,1,Argentina,3,3,0,0,6,3,3,9
J,2,Jordan,3,2,0,1,5,4,1,6
J,3,Algeria,3,1,0,2,4,5,-1,3
J,4,Austria,3,0,0,3,3,6,-3,0
K,1,Portugal,3,3,0,0,6,3,3,9
K,2,DR Congo,3,1,0,2,4,5,-1,3
K,3,Uzbekistan,3,1,0,2,4,5,-1,3
K,4,Colombia,3,1,0,2,4,5,-1,3
L,1,England,3,3,0,0,6,3,3,9
L,2,Croatia,3,1,1,1,4,4,0,4
L,3,Panama,3,1,0,2,4,5,-1,3
L,4,Ghana,3,0,1,2,3,5,-2,1
